ticker,active,type,market_cap,primary_exchange,sic_description,list_date,name,description,total_employees,share_class_shares_outstanding,weighted_shares_outstanding
UNH,True,CS,476520702125.99994,XNYS,HOSPITAL & MEDICAL SERVICE PLANS,1991-10-10,UNITEDHEALTH GROUP INCORPORATED (Delaware),"UnitedHealth Group is one of the largest private health insurers, providing medical benefits to about 50 million members globally, including 1 million outside the us as June 2024. As a leader in employer-sponsored, self-directed, and government-backed insurance plans, UnitedHealth has obtained massive scale in managed care. Along with its insurance assets, UnitedHealth's continued investments in its Optum franchises have created a healthcare services colossus that spans everything from medical and pharmaceutical benefits to providing outpatient care and analytics to both affiliated and third-party customers.",440000.0,923420000,923418150
ABBV,True,CS,363153550690.62,XNYS,PHARMACEUTICAL PREPARATIONS,2012-12-10,ABBVIE INC.,"AbbVie is a pharmaceutical firm with a strong exposure to immunology (with Humira, Skyrizi, and Rinvoq) and oncology (with Imbruvica and Venclexta). The company was spun off from Abbott in early 2013. The 2020 acquisition of Allergan added several new products and drugs in aesthetics (including Botox).",50000.0,1768980000,1768978278
HD,True,CS,355772819487.8,XNYS,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,1981-09-22,"Home Depot, Inc.","Home Depot is the world's largest home improvement specialty retailer, operating more than 2,300 warehouse-format stores offering more than 30,000 products in store and 1 million products online in the US, Canada, and Mexico. Its stores offer building materials, home improvement products, lawn and garden products, and decor products and provide various services, including home improvement installation services and tool and equipment rentals. The acquisition of Interline Brands in 2015 allowed Home Depot to enter the MRO business, which has been expanded through the tie-up with HD Supply (2020). The additions of the Company Store brought textiles to the lineup, and the 2024 tie-up with SRS will help grow professional demand in roofing, pool and landscaping projects.",471600.0,993360000,993362612
BAC,True,CS,317161673070.0,XNYS,NATIONAL COMMERCIAL BANKS,1973-01-02,Bank of America Corporation,"Bank of America is one of the largest financial institutions in the United States, with more than $3.0 trillion in assets. It is organized into four major segments: consumer banking, global wealth and investment management, global banking, and global markets. Bank of America's consumer-facing lines of business include its network of branches and deposit-gathering operations, retail lending products, credit and debit cards, and small-business services. The company's Merrill Lynch operations provide brokerage and wealth-management services, as does its private bank. Wholesale lines of business include investment banking, corporate and commercial real estate lending, and capital markets operations. Bank of America has operations in several countries but is primarily US-focused.",212000.0,7759580000,7688767832
CVX,True,CS,292417811010.33,XNYS,PETROLEUM REFINING,1983-12-30,Chevron Corporation,"Chevron is an integrated energy company with exploration, production, and refining operations worldwide. It is the second-largest oil company in the United States with production of 3.1 million of barrels of oil equivalent a day, including 7.7 million cubic feet a day of natural gas and 1.8 million of barrels of liquids a day. Production activities take place in North America, South America, Europe, Africa, Asia, and Australia. Its refineries are in the US and Asia for total refining capacity of 1.8 million barrels of oil a day. Proven reserves at year-end 2023 stood at 11.1 billion barrels of oil equivalent, including 6.0 billion barrels of liquids and 30.4 trillion cubic feet of natural gas.",45298.0,1749720000,1760598537
CSCO,True,CS,242390667703.6,XNAS,COMPUTER COMMUNICATIONS EQUIPMENT,1990-02-16,"Cisco Systems, Inc. Common Stock (DE)","Cisco Systems is the largest provider of networking equipment in the world and one of the largest software companies in the world. Its largest businesses are selling networking hardware and software (where it has leading market shares) and cybersecurity software such as firewalls. It also has collaboration products, like its Webex suite, and observability tools. It primarily outsources its manufacturing to third parties and has a large sales and marketing staff-25,000 strong across 90 countries. Overall, Cisco employs 80,000 people and sells its products globally.",90400.0,3982760000,3982758260
ABT,True,CS,226884188627.02,XNYS,PHARMACEUTICAL PREPARATIONS,1949-04-19,Abbott Laboratories,"Abbott manufactures and markets cardiovascular and diabetes devices, adult and pediatric nutritional products, diagnostic equipment and testing kits, and branded generic drugs. Products include pacemakers, implantable cardioverter defibrillators, neuromodulation devices, coronary stents, catheters, infant formula, nutritional liquids for adults, continuous glucose monitors, and immunoassays and point-of-care diagnostic equipment. Abbott derives approximately 60% of sales outside the United States.",114000.0,1734320000,1734323411
MRK,True,CS,225398213695.2,XNYS,PHARMACEUTICAL PREPARATIONS,1949-04-20,"Merck & Co., Inc.","Merck makes pharmaceutical products to treat several conditions in a number of therapeutic areas, including cardiometabolic disease, cancer, and infections. Within cancer, the firm's immuno-oncology platform is growing as a major contributor to overall sales. The company also has a substantial vaccine business, with treatments to prevent pediatric diseases as well as human papillomavirus, or HPV. Additionally, Merck sells animal health-related drugs. From a geographical perspective, just under half of the company's sales are generated in the United States.",75000.0,2526040000,2526036240
PEP,True,CS,204796801761.75,XNAS,BEVERAGES,1919-12-18,"PepsiCo, Inc.","PepsiCo is a global leader in snacks and beverages, owning well-known household brands including Pepsi, Mountain Dew, Gatorade, Lay's, Cheetos, and Doritos, among others. The company dominates the global savory snacks market and also ranks as the second-largest beverage provider in the world (behind Coca-Cola) with diversified exposure to carbonated soft drinks, or CSD, as well as water, sports, and energy drink offerings. Convenience foods account for approximately 55% of its total revenue, with beverages making up the rest. Pepsi owns the bulk of its manufacturing and distribution capacity in the US and overseas. International markets make up 40% of total sales and one third of operating profits.",318000.0,1371990000,1371989025
T,True,CS,202055252630.72,XNYS,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),1946-11-01,AT&T Inc.,"The wireless business contributes about two thirds of AT&T's revenue. The firm is the third-largest US wireless carrier, connecting 72 million postpaid and 17 million prepaid phone customers. Fixed-line enterprise services, which account for about 16% of revenue, include internet access, private networking, security, voice, and wholesale network capacity. Residential fixed-line services, about 11% of revenue, primarily consist of broadband internet access, serving 14 million customers. AT&T also has a sizable presence in Mexico, with 22 million customers, but this business only accounts for 3% of revenue. The firm still holds a 70% equity stake in satellite television provider DirecTV but does not consolidate this business in its financial statements.",160700.0,7170170000,7170165104
ACN,True,CS,190652476601.47,XNYS,"SERVICES-BUSINESS SERVICES, NEC",2001-07-19,Accenture PLC,"Accenture is a leading global IT services firm that provides consulting, strategy, and technology and operational services. These services run the gamut from aiding enterprises with digital transformation to procurement services to software system integration. The company provides its IT offerings to a variety of sectors, including communications, media and technology, financial services, health and public services, consumer products, and resources. Accenture employs just under 500,000 people throughout 200 cities in 51 countries.",774000.0,678370000,626466259
AXP,True,CS,186130556431.52002,XNYS,FINANCE SERVICES,1977-05-18,American Express Company,"American Express is a global financial institution, operating in about 130 countries, that provides consumers and businesses charge and credit card payment products. The company also operates a highly profitable merchant payment network. Since 2018, it has operated in three segments: global consumer services, global commercial services, and global merchant and network services. In addition to payment products, the company's commercial business offers expense management tools, consulting services, and business loans.",75100.0,701110000,701109524
AMD,True,CS,167265735237.63998,XNAS,SEMICONDUCTORS & RELATED DEVICES,1979-10-15,Advanced Micro Devices,"Advanced Micro Devices designs a variety of digital semiconductors for markets such as PCs, gaming consoles, data centers, industrial, and automotive applications. AMD's traditional strength was in central processing units and graphics processing units used in PCs and data centers. Additionally, the firm supplies the chips found in prominent game consoles such as the Sony PlayStation and Microsoft Xbox. In 2022, the firm acquired field-programmable gate array leader Xilinx to diversify its business and augment its opportunities in key end markets such as data center and automotive.",28000.0,1620480000,1620477962
AMGN,True,CS,164658628709.4,XNAS,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1983-06-17,Amgen Inc,"Amgen is a leader in biotechnology-based human therapeutics. Flagship drugs include red blood cell boosters Epogen and Aranesp, immune system boosters Neupogen and Neulasta, and Enbrel and Otezla for inflammatory diseases. Amgen introduced its first cancer therapeutic, Vectibix, in 2006 and markets bone-strengthening drug Prolia/Xgeva (approved 2010) and Evenity (2019). The acquisition of Onyx bolstered the firm's therapeutic oncology portfolio with Kyprolis. Recent launches include Repatha (cholesterol-lowering), Aimovig (migraine), Lumakras (lung cancer), and Tezspire (asthma). The 2023 Horizon acquisition brings several rare-disease drugs, including thyroid eye disease drug Tepezza. Amgen also has a growing biosimilar portfolio.",26700.0,536440000,536434692
ADBE,True,CS,164389602000.0,XNAS,SERVICES-PREPACKAGED SOFTWARE,1986-08-20,Adobe Inc.,"Adobe provides content creation, document management, and digital marketing and advertising software and services to creative professionals and marketers for creating, managing, delivering, measuring, optimizing, and engaging with compelling content multiple operating systems, devices, and media. The company operates with three segments: digital media content creation, digital experience for marketing solutions, and publishing for legacy products (less than 5% of revenue).",30709.0,426200000,426200000
CAT,True,CS,157569408992.56,XNYS,CONSTRUCTION MACHINERY & EQUIP,1929-12-02,Caterpillar Inc.,"Caterpillar is the world's leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. Its reporting segments are: construction industries (40% sales/47% operating profit, or OP), resource industries (20% sales/19% OP), and energy & transportation (40% sales/34% OP). Market share approaches 20% across many products. Caterpillar operates a captive finance subsidiary to facilitate sales. The firm has global reach (46% US sales/54% ex-US). Construction skews more domestic, while the other divisions are more geographically diversified. An independent network of 156 dealers operates approximately 2,800 facilities, giving Caterpillar reach into about 190 countries for sales and support services.",120286.0,477930000,477932024
BKNG,True,CS,152073517082.24,XNAS,TRANSPORTATION SERVICES,1999-03-31,Booking Holdings Inc. Common Stock,"Booking is the world's largest online travel agency by sales, offering booking and payment services for hotel and alternative accommodation rooms, airline tickets, rental cars, restaurant reservations, cruises, experiences, and other vacation packages. The company operates several branded travel booking sites, including Booking.com, Agoda, OpenTable, Rentalcars.com, Kayak, and Momondo. Transaction fees for online bookings account for the bulk of revenue and profits.",24300.0,32820000,32815201
BLK,True,CS,146978434488.1,XNYS,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",1999-10-01,"Blackrock, Inc.","BlackRock is the largest asset manager in the world, with $11.475 trillion in assets under management at the end of September 2024. Its product mix is fairly diverse, with 55% of managed assets in equity strategies, 26% in fixed income, 9% in multi-asset classes, 7% in money market funds, and 3% in alternatives. Passive strategies account for around two thirds of long-term AUM, with the company's ETF platform maintaining a leading market share domestically and on a global basis. Product distribution is weighted more toward institutional clients, which by our calculations account for around 80% of AUM. BlackRock is geographically diverse, with clients in more than 100 countries and more than one third of managed assets coming from investors domiciled outside the US and Canada.",21100.0,155250000,155253443
BSX,True,CS,146960414674.56,XNYS,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1992-05-18,Boston Scientific Corp.,"Boston Scientific produces less invasive medical devices that are inserted into the human body through small openings or cuts. It manufactures products for use in angioplasty, blood clot filtration, kidney stone management, cardiac rhythm management, catheter-directed ultrasound imaging, upper gastrointestinal tract diagnostics, interventional oncology, neuromodulation for chronic pain, and treatment of incontinence. The firm markets its devices to healthcare professionals and institutions globally. Foreign sales account for nearly half of the firm's total sales.",53000.0,1479070000,1479070196
NEE,True,CS,144741818288.4,XNYS,ELECTRIC SERVICES,1972-06-30,"Nextra Energy, Inc.","NextEra Energy's regulated utility, Florida Power & Light, is the largest rate-regulated utility in Florida. The utility distributes power to nearly 6 million customer accounts in Florida and owns 34 gigawatts of generation. FP&L contributes roughly 70% of NextEra's consolidated operating earnings. NextEra Energy Resources, the renewable energy segment, generates and sells power throughout the United States and Canada with more than 34 GW of generation capacity, including natural gas, nuclear, wind, and solar.",16800.0,2054530000,2054532552
UNP,True,CS,141639850622.30002,XNYS,"RAILROADS, LINE-HAUL OPERATING",1969-06-20,Union Pacific Corp.,"Omaha, Nebraska-based Union Pacific is the largest public railroad in North America. Operating on more than 30,000 miles of track in the western two thirds of the us, UP generated $24 billion of revenue in 2023 by hauling coal, industrial products, intermodal containers, agriculture goods, chemicals, fertilizers, and automotive goods. UP owns about one fourth of Mexican railroad Ferromex and historically derives roughly 10% of its revenue hauling freight to and from Mexico.",31052.0,610120000,610122122
GILD,True,CS,139290340000.0,XNAS,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1992-01-22,Gilead Sciences Inc,"Gilead Sciences develops and markets therapies to treat life-threatening infectious diseases, with the core of its portfolio focused on HIV and hepatitis B and C. Gilead's acquisition of Pharmasset brought rights to hepatitis C drug Sovaldi, which is also part of newer combination regimens that remain standards of care. Gilead is also growing its presence in the oncology market via acquisitions, led by CAR-T cell therapy Yescarta/Tecartus (from Kite) and breast and bladder cancer therapy Trodelvy (from Immunomedics).",18000.0,1244990000,1246000000
C,True,CS,132372315683.53,XNYS,NATIONAL COMMERCIAL BANKS,1986-06-02,Citigroup Inc.,"Citigroup Inc is a global financial services company doing business in more than 100 countries and jurisdictions. Citigroup's operations are organized into five primary segments: services, markets, banking, US personal banking, and wealth management. The bank's primary services include cross-border banking needs for multinational corporates, investment banking and trading, and credit card services in the United States.",229000.0,1882160000,1882160041
LOW,True,CS,130700160826.01999,XNYS,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,1979-12-19,Lowe's Companies Inc.,"Lowe's is the second-largest home improvement retailer in the world, operating more than 1,700 stores in the United States, after the 2023 divestiture of its Canadian locations (RONA, Lowe's Canada, Réno-Dépôt, and Dick's Lumber). The firm's stores offer products and services for home decorating, maintenance, repair, and remodeling, with maintenance and repair accounting for two thirds of products sold. Lowe's targets retail do-it-yourself (around 75% of sales) and do-it-for-me customers as well as commercial and professional business clients (around 25% of sales). We estimate Lowe's captures a high-single-digit share of the domestic home improvement market, based on U.S. Census data and management's market size estimates.",284000.0,572190000,572192281
BA,True,CS,129846680072.58,XNYS,AIRCRAFT,1952-05-23,Boeing Company,"Boeing is a major aerospace and defense firm. It operates in three segments: commercial airplanes; defense, space, and security; and global services. Boeing's commercial airplanes segment competes with Airbus in the production of aircraft that can carry more than 130 passengers. Boeing's defense, space, and security segment competes with defense contractors such as Lockheed and Northrop to create military aircraft, satellites, and weaponry. Global services provides aftermarket support to airlines.",171000.0,748180000,749216318
FI,True,CS,124431485314.7,XNYS,"SERVICES-BUSINESS SERVICES, NEC",1986-09-25,"Fiserv, Inc.","Fiserv is a leading provider of core processing and complementary services, such as electronic funds transfer, payment processing, and loan processing, for US banks and credit unions, with a focus on small and midsize banks. Through the merger with First Data in 2019, Fiserv also provides payment processing services for merchants. About 10% of the company's revenue is generated internationally.",42000.0,575730000,575725190
ADP,True,CS,122398970741.18999,XNAS,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1968-01-31,Automatic Data Processing,"Automatic Data Processing is a global technology company providing cloud-based human capital management solutions enabling clients to better implement payroll, talent, time, tax, and benefits administration. Additionally, ADP provides human resource outsourcing solutions that allow customers to offload some of their traditional HR tasks. The company operates through two segments: employer services and the professional employer organization services. Employer services consists of the company's HCM products as well as a la carte HRO solutions. PEO services contains ADP's comprehensive HRO solution where it acts as a co-employer with its customer. As of fiscal 2024, ADP serves over 1.1 million clients and pays over 42 million workers across 140 countries.",64000.0,406870000,406870893
BMY,True,CS,122126487083.94,XNYS,PHARMACEUTICAL PREPARATIONS,1952-06-23,Bristol-Myers Squibb Co.,"Bristol-Myers Squibb discovers, develops, and markets drugs for various therapeutic areas, such as cardiovascular, cancer, and immune disorders. A key focus for Bristol is immuno-oncology, where the firm is a leader in drug development. Bristol derives close to 70% of total sales from the US, showing a higher dependence on the US market than most of its peer group.",34100.0,2034760000,2034763197
AMAT,True,CS,120529970461.36,XNAS,SEMICONDUCTORS & RELATED DEVICES,1972-10-12,Applied Materials Inc,"Applied Materials is the largest semiconductor wafer fabrication equipment, or WFE, manufacturer in the world. Applied Materials has a broad portfolio spanning nearly every corner of the WFE ecosystem. Specifically, Applied Materials holds a market share leadership position in deposition, which entails the layering of new materials on semiconductor wafers. It is more exposed to general-purpose logic chips made at integrated device manufacturers and foundries. It counts the largest chipmakers in the world as customers, including TSMC, Intel, and Samsung.",34000.0,830900000,830897356
CB,True,CS,118698158180.96,XNYS,"FIRE, MARINE & CASUALTY INSURANCE",1984-02-29,Chubb Limited,"ACE acquired Chubb in the first quarter of 2016 and assumed the Chubb name. The combination made the new Chubb one of the largest domestic property and casualty insurers, with operations in 54 countries spanning commercial and personal P&C insurance, reinsurance, and life insurance.",43000.0,403100000,400412084
MDT,True,CS,112366694226.03,XNYS,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,1980-07-28,Medtronic plc,"One of the largest medical-device companies, Medtronic develops and manufactures therapeutic medical devices for chronic diseases. Its portfolio includes pacemakers, defibrillators, heart valves, stents, insulin pumps, spinal fixation devices, neurovascular products, advanced energy, and surgical tools. The company markets its products to healthcare institutions and physicians in the United States and overseas. Foreign sales account for roughly 50% of the company's total sales.",95000.0,1282490000,1282285681
SBUX,True,CS,111014547184.84001,XNAS,RETAIL-EATING & DRINKING PLACES,1992-06-26,Starbucks Corp,"Starbucks is one of the most widely recognized restaurant brands in the world, operating more than 40,000 stores across more than 80 countries as of the end of fiscal 2024. The firm operates in three segments: North America, international markets, and channel development (grocery and ready-to-drink beverage). The coffee chain generates revenue from company-operated stores, royalties, sales of equipment and products to license partners, ready-to-drink beverages, packaged coffee sales, and single-serve products.",361000.0,1133800000,1135931108
BX,True,CS,105821567080.11002,XNYS,INVESTMENT ADVICE,2007-06-22,Blackstone Inc.,"Blackstone is the world's largest alternative-asset manager with $1.108 trillion in total asset under management, including $820.5 billion in fee-earning assets under management, at the end of September 2024. The company has four core business segments: private equity (25% of fee-earning AUM and 30% of base management fees), real estate (35% and 39%), credit and insurance (31% and 24%), and multi-asset investing (9% and 7%). While the firm primarily serves institutional investors (87% of AUM), it also caters to clients in the high-net-worth channel (13%). Blackstone operates through 25 offices in the Americas (8), Europe and the Middle East (9), and the Asia-Pacific region (8).",4895.0,729420000,766212201
MELI,True,CS,103831772816.25002,XNAS,"SERVICES-BUSINESS SERVICES, NEC",2007-08-10,"Mercado Libre, Inc","MercadoLibre runs the largest e-commerce marketplace in Latin America, with more than 218 million active users and 1 million active sellers across 18 countries stitching into its commerce network or fintech solutions when last reported. The company operates a host of complementary businesses to its core online shop, with shipping solutions (Mercado Envios), a payment and financing operation (Mercado Pago and Mercado Credito), advertisements (Mercado Clics), classifieds, and a turnkey e-commerce solution (Mercado Shops) rounding out its arsenal. MercadoLibre generates revenue from final value fees, advertising royalties, payment processing, insertion fees, subscription fees, and interest income from consumer and small-business lending.",84207.0,50700000,50697375
AMT,True,CS,100765086103.36,XNYS,REAL ESTATE INVESTMENT TRUSTS,1998-02-27,American Tower Corporation,"American Tower owns and operates more than 220,000 cell towers throughout the US, Asia, Latin America, Europe, and Africa. It also owns and/or operates 28 data centers in 10 US markets after acquiring CoreSite. On its towers, the company has a very concentrated customer base, with most revenue in each market being generated by just the top few mobile carriers. The company operates more than 40,000 towers in the US, which accounted for almost half of the company's total revenue in 2023. Outside the US, American Tower operates over 75,000 towers in India, almost 50,000 towers in Latin America (dominated by Brazil), 30,000 towers in Europe, and nearly 25,000 towers in Africa. American Tower operates as a REIT.",4691.0,467460000,467457256
ADI,True,CS,99969019913.48,XNAS,SEMICONDUCTORS & RELATED DEVICES,1979-04-03,"Analog Devices, Inc.","Analog Devices is a leading analog, mixed-signal, and digital-signal processing chipmaker. The firm has a significant market share lead in converter chips, which are used to translate analog signals to digital and vice versa. The company serves tens of thousands of customers; more than half of its chip sales are to industrial and automotive end markets. ADI's chips are also incorporated into wireless infrastructure equipment.",24000.0,495980000,495976483
ANET,True,CS,98291895132.23999,XNYS,COMPUTER COMMUNICATIONS EQUIPMENT,2014-06-06,Arista Networks,"Arista Networks is a networking equipment provider that primarily sells Ethernet switches and software to data centers. Its marquee product is its extensible operating system, or EOS, that runs a single image across every single one of its devices. The firm operates as one reportable segment. It has steadily gained market share since its founding in 2004, with a focus on high-speed applications. Arista counts Microsoft and Meta Platforms as its largest customers and derives roughly three quarters of its sales from North America.",4412.0,1261120000,1261122596
APP,True,CS,92597822959.78,XNAS,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",2021-04-15,Applovin Corporation Class A Common Stock,"AppLovin is a vertically integrated advertising technology company that acts as a demand-side platform for advertisers, a supply-side platform for publishers, and an exchange facilitating transactions between the two. About 80% of AppLovin's revenue comes from the DSP, AppDiscovery, while the remainder comes from the SSP, Max, and gaming studios, which develop mobile games. AppLovin announced in February 2025 its plans to divest from the lower-margin gaming studios to focus exclusively on the ad tech platform. AppLovin's primary tool for future growth is Axon 2, which is an ad optimizer operating within the DSP that allows advertisers to place ads according to specified return thresholds.",1563.0,309270000,339958231
WM,True,CS,91479234104.72,XNYS,REFUSE SYSTEMS,1991-09-30,"Waste Management, Inc.","WM ranks as the largest integrated provider of traditional solid waste services in the United States, operating 263 active landfills and about 332 transfer stations. The company serves residential, commercial, and industrial end markets and is also a leading recycler in North America.",48000.0,401370000,401365541
MDLZ,True,CS,87597524309.24,XNAS,FOOD AND KINDRED PRODUCTS,2001-06-13,"Mondelez International, Inc. Class A","Mondelez has operated independently since its split from the former Kraft Foods North American grocery business in October 2012. The firm is a leading player in the global snack enclave with a presence in the biscuit (49% of sales), chocolate (31%), gum/candy (11%), beverage (3%), and cheese and grocery (6%) aisles, as of the end of fiscal 2024. Mondelez's portfolio includes well-known brands like Oreo, Chips Ahoy, Halls, and Cadbury. The firm derives around one third of its revenue from developing markets, just more than one third from Europe, and the remainder from North America.",90000.0,1293530000,1293525167
AJG,True,CS,87144191129.52,XNYS,"INSURANCE AGENTS, BROKERS & SERVICE",1987-12-01,Arthur J. Gallagher & Co.,"Founded in 1927 as a one-person agency, Gallagher's primary business is insurance brokerage, with a focus on serving middle-market companies. The company's risk management segment provides third-party claims adjustment to companies that choose to self-insure. Gallagher has about 56,000 employees and generates about a third of its revenue internationally, primarily in Australia, Canada, New Zealand, and the UK.",56000.0,255740000,255734802
AON,True,CS,85223236372.3,XNYS,"INSURANCE AGENTS, BROKERS & SERVICE",1984-09-07,Aon plc Class A,"Aon is a leading global provider of insurance and reinsurance brokerage and human resources solutions. Its operations are tilted toward its brokerage operations. Headquartered in London, Aon has about 50,000 employees and operations in over 120 countries.",60000.0,216000000,216001106
